title,max_players,genres,publisher,review_score,sales,price,console,age_rating,year,average_length
Pokemon: Platinum Version,1,"Adventure,Role-Playing (RPG)",Nintendo,83,2.86,27.95,Nintendo DS,T,2008,72.2166666666667
Dynasty Warriors,1,"Action,Adventure,Role-Playing (RPG)",,62,0.2,14.95,Sony PSP,E,2004,8.88333333333333
Brave Story: New Traveler,1,Role-Playing (RPG),,76,0.11,17.95,Sony PSP,T,2007,26.1666666666667
Call of Duty: Roads to Victory,1,Action,Activision,64,0.51,24.95,Sony PSP,E,2007,5.75
The BIGS,4,"Action,Simulation,Sports",2K,66,0.36,17.95,Nintendo Wii,M,2007,16.8166666666667
Fuzion Frenzy 2,4,"Action,Sports",Microsoft,49,0.12,14.95,X360,T,2006,4.36666666666667
Ridge Racer DS,1,Racing / Driving,Namco,63,0.15,9.95,Nintendo DS,E,2004,2.23333333333333
Harry Potter and the Order of the Phoenix,1,Action,EA,67,0.17,17.95,PlayStation 3,E,2007,12.3833333333333
NBA 2K6 ,1,Sports,2K,81,0.22,4.95,X360,E,2005,0.616666666666667
Sonic Unleashed,1,"Action,Adventure",Sega,54,0.42,17.95,PlayStation 3,T,2008,13.15
Marvel Ultimate Alliance,4,"Action,Role-Playing (RPG)",Activision,82,2.42,14.95,X360,T,2006,15.25
Mega Man Maverick Hunter X,1,Action,Capcom,79,0.25,17.95,Sony PSP,E,2005,6.76666666666667
Iron Man,1,Action,Sega,44,0.46,16.95,Sony PSP,E,2008,5.8
Armored Core 4,2,Action,Sega,65,0.19,17.95,X360,E,2007,20.6
Stuntman: Ignition,4,"Action,Racing / Driving",THQ,76,0.16,16.95,PlayStation 3,E,2007,8.2
Bully: Scholarship Edition,1,"Action,Adventure",Rockstar,80,0.53,17.95,X360,T,2008,18.8
Resident Evil 4,1,Action,Capcom,91,1.24,16.95,Nintendo Wii,T,2007,18.7666666666667
Code Lyoko,1,"Action,Adventure",,63,0.03,11.95,Nintendo DS,T,2007,7.73333333333333
Battlefield: Bad Company,1,Action,EA,84,0.76,17.95,PlayStation 3,T,2008,8.26666666666667
Field Commander,2,Strategy,"Sony,Ubisoft",77,0.16,14.95,Sony PSP,T,2006,13.8833333333333
Daxter,1,Action,Sony,85,2.38,14.95,Sony PSP,T,2006,9.06666666666667
Tony Hawk's Underground 2: Remix,1,Sports,Activision,83,0.49,14.95,Sony PSP,T,2005,23.45
Sonic the Hedgehog,2,Action,Sega,46,0.41,14.95,X360,T,2007,3.53333333333333
Crush,1,Action,Sega,83,0.08,16.95,Sony PSP,E,2007,6.88333333333333
Ninjatown,1,Strategy,,80,0.12,19.95,Nintendo DS,T,2008,14.6833333333333
Pure,1,"Racing / Driving,Sports",Disney,85,1.43,12.95,X360,T,2008,13.6666666666667
Deep Labyrinth,1,Role-Playing (RPG),,57,0.06,10.95,Nintendo DS,T,2006,13.5666666666667
Rumble Roses XX,4,"Action,Sports",Konami,62,0.06,17.95,X360,E,2006,119.25
WarioWare: Smooth Moves,6,"Action,Racing / Driving,Sports",Nintendo,83,0.9,39.95,Nintendo Wii,T,2006,4.46666666666667
Myst,1,Adventure,Midway,43,0.06,24.95,Nintendo DS,E,2007,7.86666666666667
Grand Theft Auto IV,1,"Action,Racing / Driving",Rockstar,98,5.76,24.95,X360,E,2008,38.8833333333333
SpongeBob SquarePants: The Yellow Avenger,1,Action,THQ,48,0.49,12.95,Sony PSP,T,2006,11.85
Final Fantasy Tactics A2: Grimoire of the Rift,1,"Role-Playing (RPG),Strategy",SquareEnix,80,0.36,17.95,Nintendo DS,E,2007,79.4666666666667
Project Sylpheed: Arc of Deception,1,Action,"Microsoft,SquareEnix",64,0.09,14.95,X360,T,2006,7.65
007: From Russia with Love,1,"Action,Racing / Driving",EA,61,0.07,17.95,Sony PSP,T,2006,6.38333333333333
Harvey Birdman: Attorney at Law,1,Adventure,Capcom,62,0.05,14.95,Sony PSP,M,2008,4.13333333333333
